
===== OGF Published Documents =====

OGF documents are developed according to an [[http://redmine.ogf.org/projects/editor/wiki/About_OGF_Documents|open public process as described at this link]].

<sortable>
^ GFD  ^ Type  ^ Area  ^ Group  ^ Publication ^ Title  ^ Authors ^
|<html><div class="hidden">199</div> <a href="http://www.ogf.org/documents/GFD.199.pdf">GFD.199 (*)</a></html>   |REC               |Operations            |NO-WG                  |2012-04-01   |WS-Disagreement       (* not part of the regular GFD series. Please note the date!)|A. Merzky, A. Papaspyrou     |
|<html><div class="hidden">198</div> <a href="http://www.ogf.org/documents/GFD.198.pdf">GFD.198</a></html>   |P-REC             |Applications          |DRMAA-WG               |2012-11-04   |(Obsoleted by #230) Distributed Resource Management Application %%API%% Version 2 (DRMAA) - C Language Binding   |P. Tröger, R. Brobst, D. Gruber, M. Mamonski, A. Merzky     |
|<html><div class="hidden">197</div> <a href="http://www.ogf.org/documents/GFD.197.pdf">GFD.197</a></html>   |INFO              |Data                  |DFDL-WG                |2012-09-06   |Example set of DFDL 1.0 properties                   |S. Hanson     |
|<html><div class="hidden">196</div> <a href="http://www.ogf.org/documents/GFD.196.pdf">GFD.196</a></html>   |P-REC             |Infrastructure        |FVGA-WG                |2012-08-19   |Firewall Traversal Protocol (FiTP)                   |R. Niederberger     |
|<html><div class="hidden">195</div> <a href="http://www.ogf.org/documents/GFD.195.pdf">GFD.195</a></html>   |P-REC             |Applications          |SAGA-WG                |2012-03-12   |SAGA %%API%% Extension: Information System Navigator %%API%%   |S. Fisher, A. Wilson     |
|<html><div class="hidden">194</div> <a href="http://www.ogf.org/documents/GFD.194.pdf">GFD.194</a></html>   |P-REC             |Applications          |DRMAA-WG               |2012-11-04   |(Obsoleted by #231) Distributed Resource Management Application %%API%% Version 2 (DRMAA)   |P.  Tröger, R. Brost, D. Gruber, M. Mamonski, D. Templeton     |
|<html><div class="hidden">193</div> <a href="http://www.ogf.org/documents/GFD.193.pdf">GFD.193</a></html>   |P-REC             |Compute               |GRAAP-WG               |2011-10-10   |WS-Agreement Negotiation Version 1.0                 |O. Waeldrich, D. Battr'e, F. Brazier, K. Clark, M. Oey, A. Papaspyrou, P. Wieder, W. Ziegler     |
|<html><div class="hidden">192</div> <a href="http://www.ogf.org/documents/GFD.192.pdf">GFD.192</a></html>   |REC               |Compute               |GRAAP-WG               |2011-10-10   |Web Services Agreement Specification (WS-Agreement)   |A. Andrieux, K. Czajkowski, A. Dan, K. Keahey, H. Ludwig, T. Kakata, J. Pruyne, J. Rofrano, S. Tuecke, M. Xu     |
|<html><div class="hidden">191</div> <a href="http://www.ogf.org/documents/GFD.191.pdf">GFD.191</a></html>   |CP                |-                     |GFSG                   |2011-11-20   |Procedure for Registration of Subnamespace Identifiers in the URN:OGF Hierarchy   |F. Dijkstra, R. Hughes-Jones, G. Newby, J. Replogle     |
|<html><div class="hidden">190</div> <a href="http://www.ogf.org/documents/GFD.190.pdf">GFD.190</a></html>   |INFO              |Data                  |DFDL-WG                |2011-08-30   |Mapping between DFDL 1.0 Infoset and XML Data Model   |S. Hanson     |
|<html><div class="hidden">189</div> <a href="http://www.ogf.org/documents/GFD.189.pdf">GFD.189</a></html>   |INFO              |Security              |CAOPS-WG               |2011-06-06   |Relying Party Defined Namespace Constraints Policies in a Policy Bridge PKI Environment   |D. Groep, J. Jensen     |
|<html><div class="hidden">188</div> <a href="http://www.ogf.org/documents/GFD.188.pdf">GFD.188</a></html>   |P-REC             |Architecture          |OGSA-Naming-WG         |2011-06-21   |WS-Iterator 1.0                                      |M. Morgan     |
|<html><div class="hidden">187</div> <a href="http://www.ogf.org/documents/GFD.187.pdf">GFD.187</a></html>   |P-REC             |Data                  |OGSA-DMI-WG            |2011-08-01   |OGSA-DMI Plain Web Service Rendering Specification 1.0   |M. Drescher, S. Newhouse, M. Antonioletti     |
|<html><div class="hidden">186</div> <a href="http://www.ogf.org/documents/GFD.186.pdf">GFD.186</a></html>   |P-REC             |Applications          |GRIDRPC-WG             |2011-06-06   |Data Management %%API%% within the GridRPC               |Y. Caniou, E. Caron, G. Le Mahec, H. Nakada     |
|<html><div class="hidden">185</div> <a href="http://www.ogf.org/documents/GFD.185.pdf">GFD.185</a></html>   |P-REC             |Infrastructure        |OCCI-WG                |2011-06-21   |Open Cloud Computing Interface - RESTful HTTP Rendering   |T. Metsch, A. Edmonds     |
|<html><div class="hidden">184</div> <a href="http://www.ogf.org/documents/GFD.184.pdf">GFD.184</a></html>   |P-REC             |Infrastructure        |OCCI-WG                |2011-06-21   |Open Cloud Computing Interface - Infrastructure      |T. Metsch, A. Edmonds     |
|<html><div class="hidden">183</div> <a href="http://www.ogf.org/documents/GFD.183.pdf">GFD.183</a></html>   |P-REC             |Infrastructure        |OCCI-WG                |2011-06-21   |Open Cloud Computing Interface - Core                |T. Metsch, A. Edmonds, R. Nyren, A. Papaspyrou     |
|<html><div class="hidden">182</div> <a href="http://www.ogf.org/documents/GFD.182.pdf">GFD.182</a></html>   |INFO              |Security              |OGSA-AuthZ-WG          |2011-08-01   |The VOMS Attribute Certificate Format                |V. Ciaschini, V. Venturi, A. Ceccanti     |
